id	role_id	lane	title	org	location	site	url	posted	first_seen	salary	level	status	friction
JM-BWW-stepp-apm	production-manager	PM	Assistant Production Manager	Steppenwolf Theatre Co.	Chicago, IL	BWW	https://www.broadwayworld.com/job/assistant-production-manager-10384	2026-07-29	2026-07-31		associate	live	direct
JM-PB-public-spm	production-manager	PM	Seasonal Production Manager	The Public Theater	New York, NY	PB	https://playbill.com/job/seasonal-production-manager/be3a78e7-b301-4e07-b0f8-9370af8083ac	2026-07-14	2026-07-31		contract	live	direct
JM-BWW-sct-dop	production-manager	PM	Director of Production	Seattle Children's Theatre	Seattle, WA	BWW	https://www.broadwayworld.com/job/director-of-production-10247	2026-07-01	2026-07-31		senior	live	direct
JM-OSJ-odc-dop	production-manager	PM	Director of Production	ODC	San Francisco, CA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72423	2026-07-29	2026-07-31	$80,000	mid	live	direct
JM-OSJ-scr-dop	production-manager	PM	Director of Production	South Coast Repertory	Costa Mesa, CA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72386	2026-07-22	2026-07-31	$100,000-120,000	senior	live	direct
JM-OSJ-upstaging-pm	production-manager	PM	Production Manager	Upstaging Inc.	Sycamore, IL	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=70982	2026-07-22	2026-07-31	$55,000-85,000	mid	live	direct
JM-BWW-randall-pm	production-manager	PM	Production Manager	Randall Media	IL	BWW	https://www.broadwayworld.com/job/production-manager-10362	2026-06-01	2026-07-31	$35-40/hr	contract	live	email
JM-BWW-wppac-tpm	production-manager	PM	Technical Production Managers/Directors	White Plains Performing Arts Center	White Plains, NY	BWW	https://www.broadwayworld.com/job/technical-production-managers-directors-10177	2026-07-28	2026-07-31		mid	live	direct
JM-BWW-jce-pm	production-manager	PM	Production Manager - Theatrical	Je'Caryous Johnson Entertainment	Houston, TX	BWW	https://www.broadwayworld.com/job/production-manager-theatrical-10369	2026-07-31	2026-07-31		mid	live	direct
JM-PB-talmi-pm	production-manager	PM	Production Manager	Talmi Entertainment	Pittsfield, MA	PB	https://playbill.com/job/production-manager/782b7a92-267e-4df9-b6ae-afa2df88c8f3	2026-08-01	2026-08-02		contract	live	direct
JM-IND-lr-pm	production-manager	PM	Production Manager - Theater	City of Little Rock CVB	Little Rock, AR	IND	https://www.governmentjobs.com/jobs/5419480-0/production-manager-theater	2026-07-23	2026-08-02	$56,971/yr	mid	live	direct
JM-SL-apollo-dop	production-manager	PM	Director of Production	Apollo Theater Foundation	New York, NY	SL	https://stagelync.com/pro/jobs-and-auditions/p-director-of-production14	2026-07-29	2026-08-02	$150,000-170,000	senior	live	direct
JM-PB-public-pm	production-manager	PM	Production Manager	The Public Theater	New York, NY	PB	https://playbill.com/job/production-manager/f7e2fb27-7b32-401f-a7ad-255a9c125f5e	2026-07-22	2026-08-03		mid	live	direct
JM-PB-dpt-apm	production-manager	PM	Associate Production Manager	Detroit Public Theatre	Detroit, MI	PB	https://playbill.com/job/associate-production-manager/97c66a01-b17b-43b9-8916-23c643edca74	2026-07-21	2026-08-03		associate	live	direct
JM-OSJ-mits-pm	production-manager	PM	Production Manager	Moving in the Spirit	Atlanta, GA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72347	2026-08-01	2026-08-03	$40/hr	contract	live	direct
JM-OSJ-hunter-pm	production-manager	PM	Red Demon Production Manager/PSM	Hunter College Theatre Dept	New York, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72397	2026-07-25	2026-08-03	$7,700 flat	contract	live	email
JM-PB-convene-pm	production-manager	PM	Production Manager, Live Events	Convene Hospitality Group	New York, NY	PB	https://playbill.com/job/production-manager-live-events/a5cb226b-ad05-4fa4-9c8a-f6a68e32472f	2026-01-20	2026-08-04	$100,000-105,000	mid	live	email
JM-PB-jce-pm	production-manager	PM	Production Manager - Theatrical	Je'Caryous Johnson Entertainment	Houston, TX	PB	https://playbill.com/job/production-manager-theatrical/96b0f7ea-d2e4-4679-a530-3780b255479d	2026-06-04	2026-08-04		mid	live	direct
JM-PB-oiala-pm	production-manager	PM	Production Manager	Once In a Lifetime, Again, LLC	New Canaan, CT	PB	https://playbill.com/job/production-manager/c41be178-fc54-469a-8a3e-8d6e409a0a07	2026-07-24	2026-08-04	$500-700 per gig	contract	live	email
JM-BWW-phorizons-apm	production-manager	PM	Associate Production Manager	Playwrights Horizons	New York, NY	BWW	https://www.broadwayworld.com/job/associate-production-manager-10497	2026-07-20	2026-08-04		associate	live	direct
JM-PB-taspen-td	technical-director	TD	Technical Director/Production Manager	Theatre Aspen	Aspen, CO	PB	https://playbill.com/job/technical-director-production-manager/516bc71b-1426-454d-a882-10112ede9d7e	2026-07-06	2026-07-31		mid	live	direct
JM-PB-carson-td	technical-director	TD	Technical Director	The Carson Center	Paducah, KY	PB	https://playbill.com/job/technical-director/c9a1f9e8-87bc-408f-8d96-41a82ef231ba	2026-07-16	2026-07-31		mid	live	direct
JM-PB-lab-td	technical-director	TD	Technical Director	Los Angeles Ballet	Los Angeles, CA	PB	https://playbill.com/job/technical-director/31c19f97-10eb-4e82-b586-b4d91bc0a564	2026-07-14	2026-07-31		mid	live	direct
JM-BWW-soho-td	technical-director	TD	Technical Director	SoHo Playhouse	New York, NY	BWW	https://www.broadwayworld.com/job/soho-playhouse-technical-director-10141	2026-06-19	2026-07-31		mid	live	direct
JM-PB-tpac-letd	technical-director	TD	Lead Event Technical Director	Tennessee Performing Arts Center	Nashville, TN	PB	https://playbill.com/job/lead-event-technical-director/33f202c3-b5d3-43f5-9e4d-a717f8ba0375	2026-07-08	2026-07-31		mid	live	direct
JM-PB-mosaic-td	technical-director	TD	Technical Director	Mosaic Theater Company of DC	Washington, DC	PB	https://playbill.com/job/technical-director/bc388c4f-9d53-4d51-bd90-d7b431710682	2026-07-06	2026-07-31		mid	live	direct
JM-PB-media-td	technical-director	TD	Technical Director	The Media Theatre	Media, PA	PB	https://playbill.com/job/technical-director/08dab3fe-b36b-4a18-9875-e25bd564f945	2026-07-07	2026-07-31		mid	live	direct
JM-PB-lamirada-td	technical-director	TD	Technical Director	La Mirada Theatre for the Performing Arts	La Mirada, CA	PB	https://playbill.com/job/technical-director-la-mirada-theatre-for-the-performing-arts/feb4a9aa-a1d0-44b8-951a-0d674932833c	2026-06-29	2026-07-31		mid	live	direct
JM-BWW-sunset-td	technical-director	TD	Resident Scenic Designer/Technical Director	Sunset Playhouse	Elm Grove, WI	BWW	https://www.broadwayworld.com/job/resident-scenic-designer-technical-director-10066	2026-03-26	2026-07-31	$45,000-50,000	mid	live	direct
JM-LCTJ-cot-td	technical-director	TD	Technical Director	Chicago Opera Theatre	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/chicago-opera-theater-chicago-full-time-technical-director/	2026-07-31	2026-07-31		contract	live	gated
JM-LCTJ-redtwist-td	technical-director	TD	Technical Director	Redtwist Theatre	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/redtwist-theatre-chicago-contract-technical-director-3/	2026-07-07	2026-07-31		contract	live	gated
JM-PB-taspen-td-ft	technical-director	TD	Technical Director	Theatre Aspen	Aspen, CO	PB	https://playbill.com/job/technical-director/ad9cdc86-e656-4d34-98a5-f187dd4a376d	2026-07-23	2026-07-31		mid	live	direct
JM-OSJ-zach-td	technical-director	TD	Technical Director	Zachary Scott Theater Center	Austin, TX	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72407	2026-07-25	2026-08-02	$67,000-80,000	mid	live	direct
JM-OSJ-precon-std	technical-director	TD	Scenic Technical Director	Precon Events LLC	Rockville, MD	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72368	2026-07-20	2026-08-03	$70,000-85,000	mid	live	direct
JM-IND-woolly-atd	technical-director	TD	Assistant Technical Director	Woolly Mammoth Theatre Company	Washington, DC	IND	https://www.career.com/job/woolly-mammoth-theatre-company/assistant-technical-director/j202607081757283727437	2026-07-09	2026-08-04	$60,000	mid	live	direct
JM-OSJ-cincyshakes-td	technical-director	TD	Technical Director	Cincinnati Shakespeare Company	Cincinnati, OH	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72193	2026-06-18	2026-08-04	$60,000	mid	live	email
JM-PB-paquin-psm	stage-manager	SM	Production Stage Manager	Paquin Entertainment Group	Wilmington, DE	PB	https://playbill.com/job/production-stage-manager/e48e5e8f-49a5-400c-bbce-dfb8c53c7d09	2026-07-21	2026-07-31		mid	live	email
JM-PB-ptdc-sm	stage-manager	SM	Stage Manager	Paul Taylor Dance Company	New York, NY	PB	https://playbill.com/job/stage-manager/6e49a20b-ef1c-4488-8244-27496fd38e46	2026-07-10	2026-07-31		mid	live	email
JM-OSJ-hct-asm	stage-manager	SM	Assistant Stage Manager (Full Time)	Hale Centre Theatre	Sandy, UT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72427	2026-07-29	2026-07-31	$25+/hr	associate	live	direct
JM-OSJ-actct-psm	stage-manager	SM	Production Stage Manager	A.C.T. of Connecticut	Ridgefield, CT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72406	2026-07-25	2026-07-31	$1,200/wk	contract	live	email
JM-LCTJ-apollo-sm	stage-manager	SM	Stage Manager	Apollo Theater Chicago	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/apollo-theater-chicago-chicago-contract-part-time-stage-manager/	2026-07-31	2026-07-31	$25/hr	contract	live	gated
JM-LCTJ-cot-sm	stage-manager	SM	Stage Manager (AGMA)	Chicago Opera Theatre	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/chicago-opera-theater-chicago-full-time-stage-manager-agma/	2026-07-31	2026-07-31		contract	live	gated
JM-SL-hair-sm	stage-manager	SM	Stage Manager - Hair The Musical	(via StageLync)	Tivoli, NY	SL	https://stagelync.com/pro/jobs-and-auditions/p-stage-manager-hair-the-musical	2026-07-16	2026-07-31		mid	live	direct
JM-PB-interalia-sm	stage-manager	SM	Stage Manager	Inter Alia Broadway LLC	New York, NY	PB	https://playbill.com/job/inter-alia-broadway-stage-manager-submissions-deadline-wednesday-august-12-2026/2b210f12-d92b-49ee-a227-35ccb2429b84	2026-07-29	2026-07-31		senior	live	email
JM-PB-suncoast-sm	stage-manager	SM	Stage Manager	Suncoast Broadway	Hudson, FL	PB	https://playbill.com/job/suncoast-seeking-a-stage-manager-for-our-2026-2027-season/186db079-78ce-4532-810c-ee747aa7a1a9	2026-06-30	2026-07-31		mid	live	email
JM-SL-jury-sm	stage-manager	SM	Stage Manager - Immersive Theatre	The Jury Experience	Houston, TX	SL	https://stagelync.com/pro/jobs-and-auditions/p-stage-manager-immersive-theatre-production-job	2026-07-18	2026-07-31		mid	live	direct
JM-PB-looking-sm	stage-manager	SM	SM Submissions 2026-27	Lookingglass Theatre Company	Chicago, IL	PB	https://playbill.com/job/lookingglass-theatre-company-2026-27-season-stage-manager-submissions-deadline-08-15-26/157d13ac-c811-45c5-97e6-bda7bcab5db0	2026-07-13	2026-07-31		mid	live	email
JM-OSJ-drunkshx-sm	stage-manager	SM	Stage Manager (PT Seasonal)	Drunk Shakespeare	Phoenix, AZ	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72403	2026-07-25	2026-07-31	$18.54/hr	contract	live	direct
JM-PB-wppac-sm	stage-manager	SM	Stage Managers (PSM + ASM)	White Plains Performing Arts Center	White Plains, NY	PB	https://playbill.com/job/stage-managers/27b7f13e-74ff-4bc7-ac73-250951a8787f	2026-08-01	2026-08-02	$720/wk	mid	live	email
JM-PB-bucks-sm	stage-manager	SM	SM - Holiday Inn	Bucks County Playhouse	New Hope, PA	PB	https://playbill.com/job/holiday-inn-stage-manager-submissions-deadline-tuesday-august-11-2026/8386b586-0004-4866-9fc4-876d9f693efa	2026-07-23	2026-08-02	$1,283/wk	mid	live	email
JM-PB-arsht-sm	stage-manager	SM	SM - Busy Bees	Adrienne Arsht Center	Miami, FL	PB	https://playbill.com/job/busy-bees-stage-manager-submissions-deadline-08-14-26/b5d2c215-b426-462a-9bce-91ffd847738c	2026-07-30	2026-08-02		mid	live	email
JM-PB-sig-mfm-sm	stage-manager	SM	SM - Miles for Mary	Signature Theatre Company	New York, NY	PB	https://playbill.com/job/miles-for-mary-stage-manager-submissions-deadline-08-12-26/1c585b96-ee4a-493a-9dba-9ccb8ed19789	2026-07-17	2026-08-02	$1,546/wk	senior	live	email
JM-PB-roundabout-ge-sm	stage-manager	SM	SM - Grief Eater	Roundabout Theatre Company	New York, NY	PB	https://playbill.com/job/grief-eater-stage-manager-submissions-deadline-08-18-26/a72a01bd-5960-45fb-97e4-f75d95cb8d88	2026-07-27	2026-08-02		mid	live	email
JM-OSJ-actct-asm	stage-manager	SM	Assistant Stage Manager (Unsilenced)	A.C.T. of Connecticut	Ridgefield, CT	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72444	2026-07-31	2026-08-02	$680/wk	associate	live	email
JM-TSJ-hamilton-sm	stage-manager	SM	Stage Manager (Job Share)	Cameron Mackintosh Ltd	London, UK	TSJ	https://jobs.thestage.co.uk/career/31797/stage-manager	2026-08-01	2026-08-04	Competitive	senior	live	direct
JM-PB-zach-sm	stage-manager	SM	SM - And Then There Were None	Zachary Scott Theatre Center	Austin, TX	PB	https://playbill.com/job/and-then-there-were-none-stage-manager-submissions-deadline-thursday-august-13-2026/7da2ae90-1003-416f-b937-a79ad79b9f3f	2026-07-28	2026-08-04	$1,056/wk	mid	live	email
JM-PB-mtnco-sm	stage-manager	SM	Stage Manager - Showstoppers!	Mountain Theatre Company	Mountain Theatre Company	PB	https://playbill.com/job/immediately-seeking-stage-manager-mountain-theatre-company-showstoppers-july-19th-september-1st-two-productions/bc6f7635-a82a-41a7-9f5d-63aa49c6d460	2026-07-16	2026-08-04		contract	live	email
JM-PB-hhn-he	electrician	ME	Touring Head Electrician/TD	The Hip Hop Nutcracker	New York, NY	PB	https://playbill.com/job/touring-head-electrician-td/2dfa1887-8c9b-4890-8f9d-730247e1a073	2026-07-27	2026-07-31		mid	live	email
JM-LCTJ-cot-ls	electrician	ME	Lighting Supervisor	Chicago Opera Theater	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/chicago-opera-theater-chicago-full-time-lighting-supervisor/	2026-07-01	2026-07-31		contract	live	gated
JM-OSJ-hhn-he	electrician	ME	Head Electrician/TD	The Hip Hop Nutcracker	New York, NY	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72438	2026-07-30	2026-07-31	$1,400/wk	mid	live	direct
JM-PB-wishstar-ldhe	electrician	ME	Lighting Director/Head Electrician - National Tour	Wishing Star Productions	Dallas, TX	PB	https://playbill.com/job/lighting-director-head-electrician-national-tour/c5d998ec-ff7b-4978-8518-42dcd3a22416	2026-07-07	2026-07-31		mid	live	email
JM-TSJ-cabaret-hol	electrician	ME	Head of Lighting - CABARET at Kit Kat Club	ATG Productions	London, UK	TSJ	https://jobs.thestage.co.uk/career/31752/head-lighting-cabaret-at-the-kit-kat-club	2026-07-31	2026-07-31	£1,135/wk (£59,024/yr)	senior	live	direct
JM-TSJ-eno-slt	electrician	ME	Senior Lighting Technician	English National Opera	London, UK	TSJ	https://jobs.thestage.co.uk/career/31716/senior-lighting-technician	2026-07-31	2026-07-31	£1,015/wk	senior	live	direct
JM-OSJ-btg-he	electrician	ME	House Electrician	Berkshire Theatre Group	Pittsfield, MA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72400	2026-07-25	2026-08-02	$750-800/wk	mid	live	direct
JM-LCTJ-writers-ls	electrician	ME	Lighting Supervisor	Writers Theatre	Glencoe, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/writers-theatre-chicago-full-time-lighting-supervisor/	2026-07-31	2026-08-02		mid	live	gated
JM-PB-actco-tls	electrician	ME	Touring Lighting Supervisor	The Acting Company	New York, NY	PB	https://playbill.com/job/touring-lighting-supervisor/d03ca526-55dd-4dfd-ae75-5dfa50902d1b	2026-06-29	2026-08-02		mid	live	email
JM-OSJ-ogunquit-ses	electrician	ME	Scenic Electrics Supervisor	Ogunquit Playhouse	Ogunquit, ME	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72405	2026-07-25	2026-08-04	$24/hr	mid	live	direct
JM-OSJ-mrt-lss	electrician	ME	Lighting and Sound Supervisor	Merrimack Repertory Theatre	Lowell, MA	OSJ	https://staging.offstagejobs.com/jobdetail.php?jobID=72264	2026-06-18	2026-08-04	$35,000	mid	live	email
JM-PB-mtnco-lbo	electrician	ME	Light Board Operator/Lighting Assistant	Mountain Theatre Company	Mountain Theatre Company	PB	https://playbill.com/job/immediately-seeking-a-light-board-operator-lighting-assistant-for-showstoppers-at-mountain-theatre-company-contract-dates-7-26-9-1/22dd6331-d702-4009-a72c-d0bcc26e71fb	2026-07-17	2026-08-04		contract	live	email
JM-LCTJ-wit-as	audio-sound	AUD	Audio Supervisor	Theater Wit	Chicago, IL	LCTJ	https://jobs.leagueofchicagotheatres.org/job/theater-wit-chicago-contract-part-time-audio-supervisor/	2026-07-28	2026-08-03		contract	live	gated
JM-TSJ-oxford-st	audio-sound	AUD	Senior Technician (Sound)	University of Oxford	Oxford, UK	TSJ	https://jobs.thestage.co.uk/career/31708/senior-technician-sound-radcliffe-observatory-quarter-woodstock-road-oxford-ox2-6gg	2026-07-28	2026-08-03	£39,424-47,779	senior	live	direct
JM-IND-zach-aud	audio-sound	AUD	Resident Sound Designer & Manager of Audio	Zachary Scott Theater Center	Austin, TX	IND	https://recruiting.paylocity.com/Recruiting/Jobs/Details/4222851	2026-07-21	2026-08-04	$60,000-65,000	senior	live	direct
JM-PB-theatercenter-a1	audio-sound	AUD	A1 Audio Engineer	Theater Center (Jerry Orbach Theater)	New York, NY	PB	https://playbill.com/job/ai-audio-engineer-needed-for-the-theater-center/d764c1ea-1aba-4b59-aa1b-a0840c8ef130	2026-08-02	2026-08-04		contract	live	direct
JM-TSJ-eno-opm	operations-safety	OPS	Operations & Planning Manager	English National Opera	Manchester/London, UK	TSJ	https://jobs.thestage.co.uk/career/31780/operations-planning-manager	2026-07-28	2026-08-04	Up to £45,000/yr	senior	live	direct
